text_cleaned,Product
Freedom Mortgage Account XXXX Thursday XX XX XXXX XXXX XXXX This letter is a formal complaint against Freedom Mortgage My Hardship begins when my loan was transferred in a pool as clarified by several of the representatives from collections They were unable to see my very first payment from XX XX XXXX In their system it shows my first payment in XXXX XXXX and already in default That is the beginning of when the account becomes an a issue I attempted to resolve by contacting Freedom Mortgage The problem that exists is there is no single point of contact in order to communicate Whenever there is a call made the situation needs to be explained to a different customer service representative each time who has no authority to correct errors on an account They produce a ticket that goes electronically to another geographical location I am not allowed to communicate with that department as explained by customer service Furthermore I am told it can take 30 days and someone will contact me Which is not the result on several occasions Facts are I did make that XX XX XXXX payment I made that payment on XX XX XXXX I have a letter from freedom mortgage for a confirmation of electronic payment for 1700 00 confirmation number XXXX I have been informed by customer representatives they can not see this payment I provided them with copy of there confirmation letter of payment Second error as explained to me by one of Freedom mortgage representatives my mortgage payments were being divided making it appear as a partial payment or insufficient funds Reasons unexplained other than possible processing error in cashiering department I was informed there is no option to communicate with cashiering department Third error by XXXX XXXX I was told I was paying for XXXX I had already made payments for XXXX XXXX XXXX XXXX XXXX XXXX I proceeded to make two payments in XXXX for XXXX and XXXX knowing I haven t missed a payment Continued for XXXX XXXX XXXX XXXX XXXX by this time account was a complete disaster I was unable to speak with anyone with the authority and the knowledge to correct the problem Since then the account has become a disaster and difficult to correct I have provided Freedom Mortgage with proof of payments for XXXX XXXX and XXXX There customer representatives corrected 3 received but unapplied payments and confirmed all other payments received It was clarified I am in error of missing a XX XX XXXX payment which I am at fault Every payment there after has been made My account states I haven t made a payment since XX XX XXXX I have proven that not to be true yet no one has corrected this in my account Furthermore the fees that accrued inaccurately since XXXX further complicate account I have been served with a summons and complaint from an attorney requesting 21000 00 in order to reinstate my account I can confidently make my monthly mortgage payments I can not pay a lump sum of 21000 00 for errors self inflicted by Freedom Mortgage lack of a better Administrative structure Sadly this is not an isolated incident there are more than a 1000 complaints if not more of similar complaints XXXX XXXX,Mortgage
I have been contacted through phone and letters from this company named Convergent Outsourcing INC They have been contacting me to make a payment of XXXX This debt is not explained in the letter at all I think this is a scam and they have my information which should be deleted from their files ,Debt collection
This is to report that I have been victim of identity theft An identity theft report had been filed with the FTC and a police report As require by FCRA any information reported as fraudulent should be removed from the consumer credit file XXXX County Police Report XXXX ,"Credit reporting, repair, or other"
A woman called me from XXXX and told me that I owed 1900 00 to XXXX XXXX for an overdrawn checking account I immediately request verification of the debt She refused multiple times to do that kept talking over me then said if you dispute this we will sue you and in court is where we are required to provide you with verification of the debt I continued to argue with her and she hung up on me She also did not give me any of the disclosures required by law She said a man would come over to serve me papers right away ,Debt collection
ability recovery services had put a collection back on my credit report and it has been discharged in the bankrucpty court and I call to find out about it and ask them can they update my account and they told me that I had to contact XXXX and dispute it and they hung up on me like i wasn t still asking the agents question about what all i had to do,Debt collection
I submitted a verification letter to Online Information Services and received a screenshot of a statement I informed the collection agency OIS that the account does not belong to me because I never resided on the street they have attached to the statement I then disputed the inaccuracy and violation I found aside from the address dates of last activity not matching the other two credit bureaus with the three credit bureaus XXXX and XXXX removed the said inaccuracy violation however XXXX started that OIS said to keep it on my credit report because they said it is accuracy I also requested to see the document OIS submitted and they confirmed it s the same one they sent me After speaking with three individuals from XXXX XXXX XXXX Supervisor XXXX I was told to contact OIS and see if they can remove it ,"Credit reporting, repair, or other"
I have had a loan with a principal balance of 64000 00 since 2013 It is now over 70000 00 due to accrued interest Interest has been a nightmare for me and I am sure plenty of other students I was tipped early on to pay attention to interest and pay it down while in school and I did so I even paid some of the smaller school loans off in full before my loan went into effect in 2013 From the get go I have always been on an income based plan At that time there was no way I could afford rent utilities daycare etc along with a 700 school loan payment each month When I was first applying for the income based plan I spoke to a representative about it in general He explained to me that the payments are lowered but only low enough to cover interest As such I was always under the impression that the payments were only as low as the interest that accrues each month Otherwise what s the point I do not like to let interest accrue I do not want to risk having any accrued interest capitalized I would not have agreed to this if I knew better I feel I was misguided Anyway I started the plan I set myself up for automatic payments I went on with life until I felt I could start paying down my loan After some time I noticed the balance on my loan jumped from XXXX to over 70k How did my balance increase after I have been making payments on it regularly I called to question it and learned that it is due to 6000 00 of accrued interest My payments are less than the amount of interest accrued each month so it has been racking up without my knowing Who knows if it has even been capitalized I keep trying to find documentation to figure out so but I can t find anything to help me much The rep says it isn t capitalized So here I am ready to try to tackle some of my principal and I can t because I have a ton of accrued interest to work on before I can even touch principal I feel helpless What s the point of having an income based or other plan when you are struggling financially All you are doing is paying and or accruing interest never touching your principal I thought the income based plan lowered payments yet still applied to a portion of principal and interest in a pro rated fashion to what the regular payment amount would be This is not helping us ,Student loan
After reviewing my credit profile on XX XX XXXX I identified a discrepancy with account listed under AFNI Inc I requested a validation on XX XX XXXX as this was an account that I did not recognize I reviewed my credit report again on XX XX XXXX and account continues to reflect on my credit report and I have not received any correspondence from creditor to validate these accounts as correctly belonging to me Therefore on XX XX XXXX I sent a 2nd validation letter Credit report was reviewed again on XX XX XXXX and still there were no updates to reflect that account was being disputed and no validation was received therefore I sent a dispute direct to all 3 credit bureaus Credit report was reviewed again on XX XX XXXX and the account is still reflecting on my report and I do not believe the account belongs to me nor that the creditor has authorization to attempt to collect on this account and the account continues to negatively affect me Please strike and remove this account from all 3 credit bureaus until adequate validation has been received proving that this account belongs to me and all information is correct ,Debt collection
Auto loan from td bank was closed since 2012 It is 7 years old,Debt collection
XXXX was my loan servicer provider for almost 4 years my loans were consolidated before I started to make payments and Ive been making consecutive on time payments under an IDR plan ever since I applied for PSLF Im a XXXX XXXX XXXX and I got into the program so my loan was transferred to XXXX on XXXX XXXX As soon as my loans were transferred I received a letter welcoming me to XXXX and to let me know that I was going to be receiving a letter stating how many payments were going to count towards my forgiveness I never got the letter but I did noticed on my statements that my loan was showing in two parts the subsidized and the unsubsidized portion The subsidized portion showed 0 payments and the unsubsidized showed 44 I did not understand why was that happening so I called them and they were not able to tell me the reason so they submitted a review for my account I called them once a month for a whole year and they told me that it was taking longer than usual to review the accounts I finally got a call from them on Monday XX XX XXXX they wanted to let me know that the review was ready and that the number of payments remained the same but they were not able to give me an explanation I didnt got a letter or anything from them I still dont understand what is happening I have all my payment history and my bank statements showing all the payments and it makes no sense to me that if the loans are consolidated they have a different number of qualifying payments ,Student loan
I VE SENT NUMEROUS OF POLICE REPORTS OF MY IDENTITY THEFT REPORT AND THE CREDIT BUREAUS REFUSE TO CORRECT THE INFORMATION ON MY REPORT AND IT WAS NOT ME THAT DID THESE FRAUDULENT TRANSACTIONS ON MY REPORT ,"Credit reporting, repair, or other"
This company AFNI is putting a collection account on my credit report for a debt that is not mine They listed the debt for 2017 from XXXX XXXX however I have not used their services,Debt collection
XXXX XXXX XXXX continues to call and text my phone about a debt that I don t recognize They say they re calling on behalf of Why Not Lease It whom I ve never done business with to my knowledge I have contacted the company and they are unable to provide me proof of any transaction made XXXX XXXX XXXX told me that they don t have to verify the debt I ve asked them to stop calling me more than twice and for them to communicate with me via partial mail ,Debt collection
I am filing this complaint as my other complaints against the credit bureaus and XXXX XXXX continue to be ignored I was just again refused credit because of a low credit score XXXX though every credit website including the credit bureaus themselves and XXXX XXXX report my score 100 points lower an sahow graphs of my score falling steeply when the only changes were the removal of three negative items I continue to read about other consumers who have had this happen to them all over the internet Then they are offered ridiculously high payments on everything and people cant get out of this trap It is sick Making over 50000 I can barely afford a place to live because my car payment and insurance is so high and because my score is so low despite paying high interest loans and credit cards on time having no glaring negative remarks and having others removed as inaccurate I tried using this complaint form to complain against the credit bureaus and XXXX XXXX and only TransUnion said anything offering some ridiculous gibberish explanation about various scoring models Tell in what model are negative items removed and replaced with a lower score by 100 points Why can I not get any answers What does this company do when companies ignore complaints Is there any way to mitigate this or is it a waste of time for me to try and work to support myself and my kids because arbitrariy decisions will be made that prevent me from even being able to afford a place for us all to live I would be better off not working at all and being reliant on government assistance Is there absolutely anyone who reads this and helps Also now Im paying money to XXXX XXXX every month in true hopes that we could move somewhere better but that also seems seriously impossible at this point and they have done nothing but take more money from me Credit scores are a racket My cousin who went bankrupt has no issues versus me who has never just abondoned my bills ,"Credit reporting, repair, or other"
On XX XX 2019 we submitted a formal request for a trustee to trustee IRA transfer of approximately XXXX to Pentagon Federal Credit Union PenFed at the XX XX XXXX maturity of a five year certificate of deposit On XX XX XXXX we contacted PenFed inquiring why the funds had not been transferred and were still sitting in non interest bearing share savings account We were told that they found the transfer request and would process it As of today XX XX XXXX the funds have not been deposited with the new trustee XXXX XXXX although the PenFed savings share account shows a XXXX balance ,Checking or savings account
Name XXXX XXXX DOB XXXX LAST 4 OF SOCIAL XXXX REPORTING COM Caliber Home Loans On XX XX XXXX a mortgage company posted 30 days late on my account Caliber home loans They haven t received my check And called me 7 days before the 30 days due date I made the payment right away with their rep on the line he DID NOT inform me that with the payment method I chose it will take them 7 14 days to receive check they got the check 1 day after the 30 days due date and reported 30 days late Lack of communication on their side while I was completely registered with them including email and phone number and alerts Tried to speak to their supervisor right after incident and they kept saying he or she is sick took me 2 weeks to speak to a supervisor I tried to dispute this and they are not cooperating with the beaural attempts to resolve this Was reading other people complains online and I m not the only one I have two mortgage companies I m dealing with and a problem like that never happened I take my credit very seriously and because of their lack of communication I got into this situation They keep saying that because it was 1 day after the 30 days than it s not an error instead of taking responsibility for their actions informing me sooner they haven t received payment and most importantly telling me to choose a different payment method so the payment will be reflected right away Sent them a proof already that payment was made at the date of their call 7 days before the 30 days And a letter from the bank indicating I had over 30k in my account at the time so there wasn t any problem with my ability to make payment Please help me resolve this matter and to remove their late payment from my report ,"Credit reporting, repair, or other"
XX XX XXXX I received overnighted documents which State Farm bank alleges I signed XXXX XXXX XXXX 35 days ago Earlier today I filed a complaint to protest Fraudulent use of an identification only electronic signature being applied to documents created yesterday I am sure these 2 documents were just created because they do not agree with SF earlier documents sent to me SF stated CD initiation date was XX XX XXXX 12 days after they had all XXXX If they now claim the CD was properly created witnessed by me signed by me XXXX XXXX XXXX they are patently being deceptive They contradict their own written communications In their response yesterday to CFPB SF stated Monetary Relief Amount 1000 00 But they refused to tell CFPB or me the amount of money sent via Wire transfer to my bank Today I learned SF lied again My bank proceeds were only 100000 00 cents Their was no Monetary relief amount of 1000 00 CD opened according to their made up signed documents XXXX XXXX XXXX which is 54 days they had XXXX That 320 00 for nearly 2 full months represents interest of 0032 a month If I were paid the specified 2 65 interest rate on the CD for 1 77 months the accrued interest would exceed 400 00 for nearly 2 months I was due 100000 00 PLUS accrued interest of 400 00 not 320 00 SF claims MONETARY RELIEF Amount 1000 00 but that is a lie They are NOT entitled to charge penalty when the CD was not opened properly Their actions were in direct violation of Fed Reserve Bank Reg D and Dodd Frank Banking Act They DID NOT provide Disclosures They fraudulently claim I was informed they would give nearly 1 less Interest than was agreed upon in emails with my agent Nothing SF has done smacks of Compliance They require an Audit by State of Illinois Bank Inspectors CFPB and US DOJ prosecution I was due 100000 00 plus 400 00 accrued interest plus 15 00 wire fee plus compensation for paper copies faxes phone calls and the agony of having my nest egg taken out of my control I know the agreed interest was 2 65 because that is what would yield me a monthly interest income of almost XXXX I did not sign on for 320 00 interest for 1 77 months of their having my month at a lower than current market rate of 1 98 They expect paying less than half the stated interest rate 2 65 for almost 2 entire months is acceptable Someone needs to audit them fast This is to me blatant theft First by not making Full Mandatory Disclosures in writing SF is so arrogant the allegedly signed agreements they sent me are 8 5 x 11 and the signature they claim I wrote is one half centimeter by six tenths centimeter wide in other words they expect CFPB and me to believe I signed a nearly blank paper with a signature smaller one quarter inch high That is absurd on the face of it Require SF to send you copies of the agreements they sent me If you believe I can sign my flourished signature only1 4 tall let me assure you I sign BIG on a blank sheet two 1 2 to three times larger and I always put a numerical date with my signature on formal agreements The date line is not good enough for me because some companies lie and fabricate phony documents I want the remainder of money due to me which is in excess of 500 00 total I also want all electronic signatures to be erased and said erasure to be certified under Penalty of Perjury I do not trust them They invented documents agreements acknowledgments and put a tiny tiny purported signature marking on large sheets of subsequently invented agreements Now you know why they sent you a Response XX XX XXXX and my bank a wire transfer XX XX XXXX and neither the Bureau nor I were informed of the amount transferred I had to make an appointment and drive to my bank to learn their latest Deceptions SF claims to have CLOSED and settled Complaint XXXX but they lied FYI page one of five is missing This is a made up set of documents created according to what my Complaint stated Anyone can reset the dates on an internal fax machine Have they threatened my SF Insurance Agent to agree these faxes were sent either to or from him Will a SF XXXX CEO and banking employee both Perjury swear their so called agreements were created and transferred a number of times on XXXX XXXX XXXX Do they realize Phone records can disprove their unsigned XXXX XXXX XXXX exchange of documents ,Checking or savings account
a XXXX bill would not remove my month in advance payments and did not cancell i took them to court small claims and one got letter from them saying it was off my credit report 2 years later a collection agency wants this money check my credit report it is not on it the agensy is trying to scam me out of money XXXX XXXX XXXX XXXX,Debt collection
Our home was severely damaged during hurricane Florence Our flood insurance went into effect and we received the insurance check for 86000 00 The check was issued to us and DITECH We endorsed the check and mailed it to Ditech as requested by Ditech Ditech received the money on XX XX 2018 All paperwork has been submitted to Ditech that was required of us as homeowners Per Ditech the check has been issued and is to be sent to use for need repairs We have yet to receive the check at this time after several time frames and delays have been stated by ditech Our XXXX has started good faith repairs and has since had to reschedule do to the hardship of lack of payment My family and myself are currently residing in a camper as our home is unfit for habitation these delays have been truly inconvenient and unnecessary Such delays have increased the exposure time of our home to hazards ie mold and mildew increaseing further repairs and damages Ditechs lack of communication and release of funds provided by our insurance company has cause increased time frame for completion of repairs and possible loss of acquired XXXX Any assistance that can be rendered for this current situation would be helpful we do not know what other routes to take to return to our home ,Mortgage
In XX XX 2018 we switched insurance carriers to XXXX for our homeowner s policy making sure to buy the same coverage that we previously had with XXXX In XX XX XXXX we received a letter from Wells Fargo stating that we did not have coverage for wind damage Shocked we called XXXX and were assured we did indeed have coverage We then called Wells Fargo staying on the line over an hour and were told that the issue was settled In XX XX XXXX we received another letter same issue We immediately called and again stayed on the line for almost two hours this time while the Wells Fargo rep called XXXX When she finally returned she assured us that this time the problem had been dealt with The next letter we received from Wells Fargo informed us that since we had not purchased wind coverage they were buying a policy for us for 1300 00 500 00 more than the policy we bought from XXXX Once again we called were on the line over two hours and found out that Wells Fargo needed a declaration page from XXXX It is a mystery to us why that fact had not been revealed previously Meanwhile Wells Fargo went ahead and took 1300 00 out of our escrow account for the policy we did not need The failure of Wells Fargo to correct an error they made one that they assured us had been corrected three times is unacceptable We are older people with health issues and this has caused us a great deal of stress and worry We read over complaints on your web site and found others have had the same problem with Wells Fargo so we can t help but wonder if this is a new scam cooked up to defraud consumers similar to the credit card scam in recent years We have advanced college degrees and were able to navigate the extremely and unnecessarily complex process to have this problem fixed Many consumers would not have resources to do so We would like assurance that going forward Wells Fargo will correct their errors quickly and with less time and effort required by their customers ,Mortgage
XX XX XXXX XXXX notified that XXXX notified them of TPD application and the loans they were servicing will be suspended and no payment will be required XX XX XXXX XXXX approved TPD Discharge of all loans XX XX XXXX XXXX sent me a document stating We now service your student loans stating the three loans from XXXX have been transferred to them XX XX XXXX XXXX emailed me stating they are my new loan servicer XX XX XXXX I emailed XXXX stating the 3 loans were discharged by XXXX under TPD XX XX XXXX I emailed XXXX at XXXX stating My loans are with fedloan 2 were paid off with the XXXX discharge 3 were not Could you please alert them that those loans are to be XXXX as well XX XX XXXX XXXX emailed me stating they received my documents and would review them XX XX XXXX XXXX emailed me stating they received my documents and would review them again XX XX XXXX XXXX told me to contact XXXX XX XX XXXX I emailed XXXX stating I already applied and was approved for discharge and XXXX told me to contact XXXX XX XX XXXX XXXX stated I was considered XXXX XXXX XXXX XXXX as of XX XX XXXX The three loans currently in our system have disbursement dates of XX XX XXXX and XX XX XXXX Since these loans were disbursed prior to XX XX XXXX you would still remain responsible for these loans THIS IS INACCURATE XX XX XXXX I emailed back stating that is not how that works that the other 2 loans that were discharged were disbursed prior to the XXXX date XX XX XXXX I called XXXX Customer service stated they did not have access to know why the 3 loans were not discharged could have been that they were in grace She told me to upload the document from XXXX so the department could review the discharge This call is recorded XX XX XXXX I uploaded the XXXX TPD approval letter XX XX XXXX XXXX emailed stating they received the Discharge Application and I could expect them to conduct the review within 10 business days XX XX XXXX XXXX gave me a document Your Student Loan Repayment Details showing the three loans and the the repayment start dates of XX XX XXXX with a total amount to be repaid of 9400 00 XX XX XXXX XXXX emailed me to contact XXXX XX XX XXXX I emailed XXXX stating I uploaded the document that says the loans have been discharged XX XX XXXX XXXX emailed me telling me that although no payments are due at this time interest continues to accrue on your loan s XX XX XXXX XXXX gave me a document titled XXXX XXXX XXXX XXXX XXXX Request and stated We re sorry to hear about the health concerns that you contacted us about You may wish to apply for a XXXX XXXX XXXX XXXX XXXX XX XX XXXX I received an email stating my loan grace period was ending and soon I ll begin making payments XX XX XXXX I called XXXX saying I have been approved for discharge and that I should not be getting emails about having to make payments I asked them to review the uploaded letter from XXXX and to discharge the loans and suspend cancel payments The customer service representative told me We don t have to do anything This call is recorded XXXX XX XX XXXX XXXX sent me a document stating We denied your SCRA request I never applied for SCRA as I am not on XXXX XXXX I am a XXXX veteran XX XX XXXX XXXX sent me a Quarterly Student Loan update showing the 3 loans in question with principal balances and statuses IN GRACE PERIOD XX XX XXXX XXXX emailed me stating they received my documents and would review them for the third time XX XX XXXX XXXX emailed stating Our records indicate you were in contact with our office on XX XX XXXX and received assistance regarding the inquiry in your email XX XX XXXX XXXX emailed me to tell me that my account is due for a payment on XX XX XXXX ,Student loan
XXXX2018 I have spoken to all three credit bureaus and was a recent victim of identity theft and have yet to have any communication with them on removing the inquiries this affect have caused me to be denied credit line increases and more Also credit bureaus have failed to update proper information on a vehicle that was paid off still reflects as if I owe on the car still,"Credit reporting, repair, or other"
XXXX XXXX XXXX called me 81 times in one day on XX XX 19 ,Debt collection
Several weeks or more than 30 days of investigation into a problem and has not been solved the worst is that More than 30 days of continuous retaliation by Equifax which became more visible now in at least Blacklisting my information and or participating in blacklisting against my person now there is clear and convincing evidence of that which is a fact now Equifax did not comply to the FCRA Equifax blacklisted my infirmation to deny my right to get my credit report free under FCRA in my situation Equifaxs retaliation against me violated my consumer rights in violation of the Dodd Franklin CFPA of 2010 etc all rights reserved by my person and all stated herein is to current state of belief knowledge and understanding and all is subject to anything by my person only and at anytime and without prior notice and without waiving my rights under any circumstances ,"Credit reporting, repair, or other"
Since XX XX XXXX over payment of escrow account where M T Bank refused to credit mortgage account and pay down principal as requested numerous times over the phone Only attaching a note on my bill Our records indicate that M T has sent you a refund check that you have not cashed yet Check XXXX dated XX XX XXXX in the amount of 220 00 and I just read this on or about XX XX XXXXas I recall I spoke with someone in XX XX XXXX where they told me they applied this to my principal per a phone conversation back where I exclaimed this should have been done back in XX XX XXXX and the customer service representative said it was Again speaking in another phone call in XX XX XXXX where M T stated over the phone they had applied the over payment to principal yet here it is XX XX XXXX and the above message has not been removed from my monthly bills Has monies been wrongfully misplaced on purpose How many more customers had their overpayments not cashed and given the option to have credit to escrow principal paid instead Is this a violation of the FHA HUD Rules Reg Someone was lied to and can be backed up to that effect including any mishandling of funds as the amount of mortgage payment should be less than 1500 00 per month Please enforce the correct payment amount as anyone who studies math knows numbers do not lie Escrow is knowable especially since the numbers for the year XX XX XXXX were released and M T did nothing to correct monthly payment amounts The false amount placed in escrow by M T is fraud Including since they re raising the monthly payment amount they state I am short in the escrow which is less than the amount they still owe in back principal The shortage amount for XX XX XXXX was about 170 and where M T raised monthly payment amount this year Please slap them with a fine per the rules credit my account back principal and re calculate actual payment amount as ESCROW TAX AMOUNTS HAVE BEEN RELEASED FOR THE XX XX XXXX XX XX XXXX and is knowable down to the XXXX where I should be paying less than 1500 month M T is charging 1500 00 which is more than previous year and where if principal had been credited as they said they did what would that amount be today Per the XX XX XXXX bill amount was 1500 00 and where they did not credit the XXXXwhich would have been a reduced payment amount Please credit from XX XX XXXX and using the TVM Time Value of Money equations recalculate new principal amount with above applied credit and supply a new escrow to establish the correct payment amount due for per month for the year XX XX XXXX Not withstanding anything less than a fine and a credit of interest per both federal and California State Laws for wrongful mishandling of escrow balances and defrauding monthly payment amounts ,Mortgage
Portfolio Recovery Associates of XXXX VA are trying to collect a debt not owed with 1 of 3 accounts they have listed as my owing The other two accounts are in dispute as of current The account that is incorrect is Account Number XXXX Account Balance 1400 00 Seller XXXX XXXX XXXX Merchant XXXX XXXX XXXX Creditor to Whom Debt is Owed PORTFOLIO RECOVERY ASSOCIATES LLC Acquired on XX XX XXXX Original Creditor XXXX XXXX XXXXXXXX XXXX XXXX Account Open Date XX XX XXXX This account should have been charged off and is not owed by me anymore since it is almost two decades old The other two accounts are still in question and are referenced by the following 1 Account Number XXXX Account Balance 650 00 Seller XXXX XXXX XXXX XXXX XXXX Creditor to Whom Debt is Owed PORTFOLIO RECOVERY ASSOCIATES LLC Acquired on XX XX XXXX Original Creditor XXXX XXXX XXXX XXXX XXXX Account Open Date XX XX XXXX and 2 Account Number XXXX Account Balance 920 00 Seller XXXX XXXX XXXX XXXX XXXX Creditor to Whom Debt is Owed PORTFOLIO RECOVERY ASSOCIATES LLC Acquired on XX XX XXXX Original Creditor XXXX XXXX XXXX XXXX XXXX Account Open Date XX XX XXXX XX XX XXXX,Debt collection
My Sallie Mae loan was transferred to Navient which they have the right to do so After exhausting all deferments I had to start paying on my student loans On XX XX 2012 I began working for a nonprofit and asked for the PSLE and kept being told it was not an option so I was paying 75 of my income to this loan I kept getting calls and do to language barriers their representatives were not entering my correct banking information to set up my automatic payment withdrawals I gave them the banking information and the the telephone number and was told this would be taken care of After 4 missed payments not my fault this hit my credit I have asked for them to be removed and was denied I also found out they were deceptive in the fact that that since I did work for a XXXX I did qualify for the PSLE and transferred my loan to XXXX XXXX and have had no other issues Their deceptive tactics need to be addressed ,Student loan
In XX XX 2010 I foreclosed on my property I had a HELOC loan XXXX with XXXX XXXX attached to that property as well as other loans Its been over 7 years and XXXX XXXX is still reporting the loan on my credit report as over 180 days past due I have been in contact with XXXX XXXX and have had no resolution Since I need to apply for other home loans I need to get this off of my report ,"Credit reporting, repair, or other"
Convergent XXXX keeps harrassment efforts on over a debt that is 10 years old after repeated demands that they cease and desist ,Debt collection
The loan was for 480 00 and some change I selected the installment plan option and I made the first of three installment payments two weeks ago I called to ask him if I could extend the payment bye two weeks because my money was short They said no and that they would cash my check as if I had not made the first payment So I will be out of overdraft fees in addition to the extra 18 00 for a repayment plan ,"Payday loan, title loan, or personal loan"
